Overall Qual,Gr Liv Area,Lot Area,Kitchen Qual,Overall Cond,Exter Qual,Year Built,Total SF,Total Baths,SalePrice
4,1324,6000,3,6,3,1936,1996.0,1.0,11.759793355371237
6,2142,13000,4,6,3,1968,3038.0,2.5,12.173037959397275
6,1095,10382,3,5,3,1958,1683.0,2.0,11.849404844423074
6,1690,9487,3,5,3,2000,2605.0,3.5,12.138869243416009
6,1604,9535,3,5,3,1998,2530.0,2.5,12.18332077348399
5,1584,8917,3,5,3,1967,3168.0,2.0,11.686887175419702
4,1092,1476,3,7,3,1970,1638.0,1.5,11.23850177707664
4,861,12342,3,5,3,1940,1722.0,1.0,11.320565693461432
5,1867,10708,3,5,4,1955,3484.0,2.0,12.154784614286667
7,1654,8125,4,5,4,2002,3308.0,3.0,12.345838935721968
4,784,6931,3,5,3,1955,1568.0,2.0,11.428467189677395
6,1632,9130,4,8,3,1966,2432.0,2.0,12.06105265381003
8,1844,10994,4,5,4,2005,3688.0,3.0,12.456835254920371
5,1475,2665,3,6,3,1977,2232.0,2.0,11.751950239425476
7,2787,7976,3,5,3,2000,3955.0,7.0,12.504327379899443
7,1530,16158,4,5,4,2005,3060.0,3.0,12.468440756144114
5,1452,11235,3,5,3,1964,2872.0,2.0,11.973200676238312
6,2201,19690,4,7,4,1966,2898.0,2.0,12.524420916542532
7,1392,3604,4,5,4,2007,2081.0,2.0,11.891368749982085
5,1056,34650,3,5,3,1955,2112.0,2.0,11.884495917930655
4,796,3636,3,4,3,1922,1592.0,1.0,10.915106645867503
5,902,8885,3,5,3,1983,1766.0,2.0,11.782960235741939
8,2200,15262,5,5,4,2003,4400.0,3.5,12.854486546624395
7,2263,16659,4,7,3,1977,3058.0,3.5,12.367345048436391
9,1780,14828,5,5,5,2004,3560.0,3.0,12.84265212010087
6,1412,6000,3,6,3,1939,2192.0,1.0,11.794345471549745
6,1993,14803,3,5,3,1971,2818.0,2.5,12.154784614286667
8,1787,14781,4,5,4,2001,3540.0,2.0,12.524530013005734
5,866,3880,4,9,3,1945,1552.0,1.0,11.612779849672751
5,1348,6000,3,8,3,1925,2232.0,2.0,11.669937760751914
5,1355,10106,3,7,3,1940,1999.0,3.0,11.755879486687116
5,1238,7200,3,3,3,1950,2102.0,1.5,11.532737896139919
5,1523,15600,2,7,3,1949,2590.0,3.0,11.970356641102999
5,1920,11345,3,5,3,1948,2848.0,2.0,11.827743504053695
4,2377,10410,4,5,3,1915,2626.0,2.0,11.869907361794104
8,1826,11302,4,5,4,2005,3640.0,3.0,12.672949516558306
9,3140,13518,5,5,5,2008,5066.0,3.5,13.091906231773164
6,1262,7200,4,5,4,2006,2524.0,2.0,12.128116509451258
5,1486,9937,3,7,3,1964,2972.0,2.0,12.025755079404917
5,1691,5000,4,6,3,1924,2717.0,2.0,11.751950239425476
7,1555,3182,4,5,4,2005,2928.0,2.0,12.167856627501678
6,1491,7777,3,5,4,1996,2982.0,2.0,12.08954444723597
6,1746,9729,4,5,4,2006,2444.0,3.5,12.198267262630514
5,616,6000,3,7,3,1921,1232.0,1.0,11.39640288460621
7,1626,2448,4,5,4,2003,2390.0,2.5,11.951186847493476
7,2080,10918,4,9,4,1926,3356.0,1.5,12.36308066783498
8,1636,13501,4,5,4,2006,3259.0,3.0,12.449022745701502
5,1440,11227,3,5,3,1968,2160.0,1.5,12.001511614739405
6,1403,10320,3,7,3,1915,2101.0,2.5,11.661354090741
7,1740,15417,4,5,4,1981,3480.0,1.5,12.39504288410708
8,2349,13143,4,5,4,1993,3580.0,3.5,12.80078251189375
7,1852,8640,4,5,3,2009,2752.0,3.5,12.439875187430008
8,1634,11428,4,5,4,2006,3260.0,2.0,12.429220196836383
8,1668,10635,4,5,4,2003,3325.0,3.0,12.354496960983985
7,1436,7993,4,5,4,2008,2872.0,2.0,12.323860125621126
4,1436,8777,3,6,3,1910,2112.0,3.0,11.49273296168228
7,1820,13700,4,6,3,1965,2684.0,2.0,12.215037342290755
5,1099,9525,4,6,3,1995,2198.0,1.5,11.87757552297847
3,492,7830,3,5,3,1921,984.0,2.0,11.026808713825016
5,984,9750,2,6,3,1959,1968.0,2.0,11.608244735642321
6,1721,8462,4,5,4,1994,2649.0,3.0,12.211065162153215
5,1464,12886,3,6,3,1963,1984.0,2.5,12.07254696717504
6,1776,9783,3,5,3,1996,2597.0,2.5,12.216027926866138
6,1302,3901,4,5,4,2005,2604.0,2.5,12.225880174775122
5,988,7200,3,7,3,1950,1864.0,1.0,11.686887175419702
7,1504,11883,4,5,4,1996,3008.0,3.0,12.220966184120165
4,1529,8405,3,3,3,1945,1529.0,2.0,11.49273296168228
7,1302,8993,4,5,4,2007,2604.0,2.0,12.080996832096167
8,1728,11449,4,5,4,2007,3612.0,3.0,12.607369076766119
5,1077,8967,3,2,3,1920,2038.0,1.0,11.112462823634855
6,1716,9247,3,6,3,1962,2574.0,1.5,12.049424683420915
5,1316,8550,3,5,3,1926,2066.0,1.0,11.407576060361786
7,2093,20544,3,6,3,1986,2884.0,2.5,12.278397958261774
5,1092,14850,3,5,3,1957,2184.0,2.0,11.856522261533737
6,1536,10237,4,5,4,2005,2304.0,2.5,12.07824495582233
7,1555,3684,4,5,4,2007,2928.0,2.0,12.066816325306588
6,1416,9600,4,8,3,1900,2196.0,1.5,11.960817678718287
7,2046,10625,4,5,4,2003,3044.0,3.5,12.556733038263905
6,1252,9600,3,5,3,1950,2284.0,1.0,11.686887175419702
5,1362,14115,3,5,3,1993,2158.0,2.5,11.870606902224587
6,1797,12961,4,5,4,1993,2949.0,3.5,12.35017731849889
7,1823,12192,4,5,4,2000,2751.0,3.5,12.367345048436391
6,1114,13695,4,5,3,2003,2228.0,2.0,11.951186847493476
6,1261,9120,3,6,3,1958,2522.0,2.0,12.001511614739405
6,1664,5000,3,7,3,1947,2668.0,2.0,11.976665770490767
5,1327,7388,4,6,3,1959,2390.0,2.0,11.923384748066601
5,1230,10440,3,6,3,1910,1670.0,1.5,11.608244735642321
5,1336,9600,3,5,3,1969,2624.0,2.5,12.001511614739405
6,1298,6821,3,7,3,1921,1949.0,2.0,11.89478753335453
3,1306,5350,2,2,3,1940,2034.0,1.0,11.245059091624615
6,1282,10385,3,6,3,1978,2277.0,2.5,12.066816325306588
7,767,4058,3,5,3,1998,1490.0,2.0,11.798111925972618
6,784,9000,3,3,3,1928,1568.0,1.0,11.23850177707664
5,1656,10410,3,7,3,1916,2172.0,2.5,11.813037464800539
8,1629,10655,4,5,4,2003,4835.0,3.0,12.556733038263905
5,1367,8405,3,8,3,1900,2228.0,2.0,11.686887175419702
7,1488,4835,4,5,4,2004,2976.0,3.0,12.468440756144114
7,1541,13704,4,5,4,2001,3082.0,2.0,12.230770136157428
5,1112,9780,3,3,3,1934,1697.0,3.0,11.050905878263567
7,2495,10800,3,7,3,1890,3808.0,2.0,12.122696471358964
6,1118,9880,3,6,3,1977,2214.0,2.0,12.049424683420915
5,1268,7800,3,6,3,1954,2536.0,1.0,11.790564777297387
7,2057,11500,4,7,4,1936,3074.0,1.5,12.429220196836383
5,1343,7681,3,6,3,1921,2074.0,1.5,11.950541482162043
7,2462,19378,4,5,4,2005,3854.0,3.5,12.676079399771027
5,874,10172,3,7,3,1968,1738.0,2.0,11.748005492256807
5,1050,10659,3,6,3,1961,2100.0,2.0,11.824087219587643
5,864,15523,3,6,3,1972,1728.0,2.0,11.80186424743109
6,1882,8250,3,7,3,1981,1882.0,2.0,11.982935344196433
6,1838,10126,3,5,3,1997,3676.0,4.0,12.128116509451258
8,1801,10463,4,5,4,2005,2694.0,2.5,12.3879816172226
8,1625,4750,4,5,4,2006,3198.0,3.5,12.367345048436391
7,1477,6292,3,7,3,1928,2338.0,2.5,11.884495917930655
5,1154,11000,3,6,3,1966,2308.0,1.5,11.944714374881176
7,1474,8530,3,5,3,1995,1858.0,2.5,12.034696963475044
4,1273,11388,4,7,3,1910,1889.0,1.0,11.703554089007538
7,1253,7875,3,5,3,1995,2490.0,2.0,12.07824495582233
6,1576,11475,4,6,3,1961,2784.0,2.0,12.069685751267224
5,1144,9100,3,5,3,1960,2288.0,1.0,11.695255355062795
7,1689,8368,4,5,4,2006,3378.0,2.0,12.353259131555799
5,1008,9129,4,5,3,1977,1931.0,2.0,11.941462360646149
3,968,5925,3,6,3,1910,1568.0,1.0,10.542732775946709
7,1452,3768,4,5,4,1999,2143.0,3.5,11.957617696467539
4,693,4118,2,4,3,1941,1386.0,1.0,10.868587496017359
5,875,6120,3,7,3,1931,1590.0,2.0,11.561725152903833
5,1447,10134,3,5,3,1910,2248.0,1.0,11.542493975902508
6,720,8520,3,8,3,1928,1344.0,1.0,11.570259974415547
5,1779,17920,3,4,3,1955,3542.0,2.5,12.04355959836804
5,1298,11200,3,3,3,1964,2548.0,2.0,11.643962499267984
5,1488,12048,3,6,3,1952,1488.0,1.0,11.813037464800539
7,2353,13005,5,7,4,1980,3198.0,3.5,12.468440756144114
8,1932,12444,5,5,5,2008,3864.0,3.0,12.885673487343764
5,2020,8400,3,5,3,1977,2020.0,2.0,11.87757552297847
6,972,8000,3,6,3,1948,1944.0,2.0,11.790564777297387
5,1280,10050,3,6,3,1966,2073.0,2.5,12.07254696717504
2,612,5925,3,4,3,1940,612.0,1.0,10.714439990727769
6,1069,4043,3,5,3,1975,2138.0,2.5,11.893421422254848
6,1004,11241,3,7,3,1970,2008.0,2.0,11.91170829631447
5,893,9600,4,7,3,1949,1738.0,1.5,11.813037464800539
9,2668,13688,5,5,4,2003,4240.0,3.5,12.929993908996359
5,1268,9286,4,7,3,1977,2536.0,1.5,11.874097282798648
9,1419,4385,5,5,4,2001,2838.0,2.5,12.577639650232573
8,1658,10206,4,5,4,2008,3272.0,2.5,12.458778882573533
5,1411,12198,3,6,3,1955,2615.0,1.0,11.775297421715827
10,4476,15623,5,5,4,1996,6872.0,4.5,13.521140839642674
7,1690,8850,3,6,3,1916,2505.0,1.0,11.87757552297847
6,1456,10237,4,5,4,2005,2184.0,2.5,12.046144474763969
3,936,8520,3,5,3,1916,1152.0,1.0,11.264476926102367
5,1389,10010,3,5,3,1974,2778.0,2.0,12.04355959836804
7,1079,5190,3,5,3,1948,1649.0,1.0,11.74086549476798
4,1440,7711,3,3,3,1977,2880.0,4.0,11.918397239722838
6,1330,8334,4,5,4,2006,2660.0,2.0,12.030772381667665
4,1152,6012,3,5,3,1955,1152.0,2.0,11.314486721293981
9,2331,12151,5,5,4,2005,3745.0,3.5,12.84529412258351
5,1152,10547,3,5,3,1978,2304.0,4.0,11.982310152711182
6,2054,12224,4,5,4,2000,3046.0,3.5,12.404927602627597
6,1074,11479,4,7,3,1950,1737.0,2.0,11.881041706925902
5,864,6360,3,5,3,1963,1728.0,1.0,11.694555115785771
10,2698,16052,5,5,5,2006,4548.0,3.5,13.190023895035274
4,1452,4456,3,5,3,1920,2188.0,2.0,11.635151947212842
6,1412,8499,4,5,3,2006,2028.0,2.5,11.963574241653713
4,1005,10434,2,5,3,1955,2010.0,1.0,11.652696102959753
4,1951,7745,2,6,4,1900,2889.0,2.0,11.621788838451959
6,1912,10800,3,7,3,1905,2394.0,2.0,12.001511614739405
6,1320,3612,3,5,3,1993,1950.0,2.5,11.827743504053695
5,816,6600,4,9,4,1982,1632.0,1.5,11.779136168550774
5,1203,7015,4,4,3,1950,1912.0,2.0,11.608244735642321
6,987,1890,3,6,3,1972,1470.0,1.5,11.51792295668052
5,1086,13400,3,5,3,1966,2110.0,2.0,11.982622797311857
4,1680,17871,4,5,3,1995,3360.0,2.0,12.04355959836804
7,1668,11317,4,5,4,2003,2508.0,2.5,12.100717685412471
2,810,21780,3,4,2,1910,810.0,1.0,10.961729133727554
7,1344,8940,3,5,3,1997,2688.0,4.0,12.251050791276203
7,1294,6762,4,5,4,2006,2580.0,2.0,12.174994689959313
5,1006,9000,3,3,3,1959,2012.0,1.0,11.289794413577894
6,2526,8520,4,7,3,1916,3240.0,2.0,11.820417517632333
7,1724,8924,4,5,3,1998,2604.0,2.5,12.144202560946876
5,1141,9600,3,7,3,1967,2282.0,2.0,11.970356641102999
5,1560,11767,3,5,3,1956,2710.0,1.0,11.547336553476635
4,605,9098,3,7,3,1920,1133.0,2.0,11.362114203075018
9,1531,10872,5,5,4,2006,3035.0,3.0,12.611541086966115
6,1650,50102,3,5,3,1958,3282.0,2.0,12.43227152457339
6,1285,8197,3,5,3,1977,1945.0,1.5,11.874097282798648
7,1614,9316,4,5,4,2005,3228.0,2.0,12.323860125621126
7,1102,5105,4,5,4,2004,1653.0,2.5,11.910365121788654
7,1657,14565,4,5,4,1994,2489.0,2.5,12.149507585033072
7,1959,11796,4,5,4,2004,2806.0,2.5,12.278397958261774
4,1092,5600,2,5,2,1930,1092.0,2.0,10.915106645867503
5,1224,20000,3,7,3,1960,2448.0,2.0,11.782960235741939
5,1092,1680,3,5,3,1971,1617.0,1.5,11.566475710526321
6,1682,8750,4,5,3,1998,2486.0,2.5,12.208574513247495
6,1128,11380,4,8,3,1966,2208.0,2.0,12.08954444723597
5,1509,9571,4,6,3,1956,3018.0,2.0,11.982310152711182
7,1414,3072,4,5,4,2004,2789.0,2.0,12.093693109638318
5,1014,7785,3,5,3,1956,1014.0,1.0,11.49273296168228
6,882,13008,3,5,3,1956,1764.0,1.0,11.732069026983156
7,1190,8769,4,5,4,2005,2359.0,3.0,12.063938642041201
5,1347,5805,4,7,3,1957,2694.0,2.5,11.870606902224587
5,1053,8250,4,7,3,1963,2106.0,2.0,11.864293351358109
9,1506,14587,5,5,4,2008,3004.0,2.0,12.484208043148733
7,1045,7400,3,6,3,1962,2090.0,2.0,11.695255355062795
4,1844,4800,3,5,3,1900,2553.0,2.0,11.294781892900653
5,894,7200,3,5,3,1972,1788.0,1.0,11.719947764402807
5,884,9180,4,7,3,1983,1724.0,2.0,11.87757552297847
5,1200,8155,3,7,3,1930,1980.0,1.0,11.686887175419702
6,951,8010,4,9,4,1958,1902.0,2.0,11.874097282798648
5,698,9405,3,9,3,1947,1396.0,1.5,11.678448377988165
6,1790,14250,3,5,3,1957,2788.0,2.0,12.100717685412471
6,1796,9531,3,5,3,1998,2590.0,3.5,12.259618151783465
5,882,8339,3,7,3,1959,882.0,1.0,11.575909653758895
8,1836,11362,4,5,4,2004,3672.0,3.0,12.54254845357358
3,944,10206,2,3,3,1952,944.0,1.0,11.314486721293981
5,1432,9600,3,7,3,1910,1696.0,2.0,11.790564777297387
5,1535,7018,3,5,3,1979,1535.0,2.0,11.68658461118553
7,1760,12878,4,5,4,2003,3520.0,3.0,12.504327379899443
8,3447,14100,4,9,3,1935,4175.0,3.5,12.850557278777309
8,2090,10000,4,5,4,1995,3310.0,3.5,12.388398368982115
5,1330,7518,3,8,2,1910,1726.0,1.0,11.665655135642039
7,1080,7500,4,5,3,2004,2160.0,2.0,11.856522261533737
5,1383,13284,3,5,3,1954,2766.0,2.0,12.013706813470414
5,1152,14112,3,7,3,1964,2304.0,2.0,12.103491596905931
7,1430,7848,3,6,3,1999,1814.0,2.5,12.031725210748633
5,1991,8250,3,6,3,1895,2948.0,2.0,11.691916481667727
7,1162,9260,4,5,4,2007,2324.0,2.0,12.04355959836804
6,1680,8480,4,5,4,1993,2566.0,3.0,12.001511614739405
7,1083,9927,3,5,4,1976,2130.0,2.0,12.055255569732177
6,1291,2887,4,5,3,1996,2582.0,2.0,12.06105265381003
7,1564,12000,2,7,3,1941,2268.0,1.5,12.069685751267224
3,1040,8544,3,4,3,1950,1040.0,2.0,11.445727410406752
5,950,12774,3,5,3,1953,1934.0,1.0,11.775297421715827
6,1224,4500,3,5,3,1999,2448.0,3.0,12.013706813470414
6,958,4928,3,5,3,1976,2036.0,2.0,11.759793355371237
8,1734,12085,5,5,4,2007,3468.0,3.0,12.669809806411457
7,1710,10300,3,6,3,1921,2286.0,2.0,11.849404844423074
5,1202,8750,3,5,3,1956,2404.0,1.5,11.695255355062795
5,2256,9045,2,3,3,1910,3096.0,2.0,11.245059091624615
9,1808,13514,5,5,5,2008,3582.0,3.0,12.688501881189456
6,1105,10454,3,6,3,1957,2210.0,1.0,11.813037464800539
5,1024,13052,3,6,3,1965,2048.0,1.5,11.702520505730682
5,1040,11200,3,5,3,1965,2080.0,2.0,11.771443882099637
6,1045,7936,3,6,3,1963,2090.0,2.0,11.751950239425476
8,1571,10991,4,5,4,2007,3142.0,2.0,12.384223015005313
7,1363,39104,3,7,3,1954,2748.0,2.0,12.394628892852941
5,1200,10800,3,5,3,1987,2400.0,6.0,12.095146671399466
7,1453,5271,4,5,3,1986,2906.0,2.5,12.154784614286667
7,1502,9541,4,5,4,2009,3004.0,2.0,12.359527368950229
5,1394,9735,4,5,3,2006,1778.0,2.5,12.02874460037869
3,1040,8544,3,4,3,1950,1040.0,2.0,11.307142836927456
7,1442,10357,4,5,4,1990,2352.0,3.0,12.100161978566867
6,1082,8723,3,6,3,1969,2055.0,2.0,11.998439434579149
5,1175,7635,3,6,3,1960,2350.0,1.5,11.904974309480183
3,640,8777,3,6,3,1945,640.0,1.0,11.349241150793087
8,1489,11216,4,5,4,2006,2978.0,2.0,12.357079818283598
8,1752,12134,3,7,4,1988,2311.0,2.0,12.00762780434872
4,1521,12144,4,6,3,1950,2431.0,1.5,11.901590234400047
5,1898,26073,3,5,3,1956,3796.0,2.5,12.373707715234994
6,1293,11027,3,5,3,1954,2471.0,3.0,11.917730355182513
6,1264,15564,3,6,3,1914,1940.0,1.0,11.901590234400047
6,1258,11040,4,7,4,1971,2516.0,2.5,11.884495917930655
5,1696,13673,3,5,3,1962,2836.0,1.5,11.87688084212164
6,1436,6720,3,7,3,1921,2021.0,1.0,11.860062063178267
3,1344,10320,3,3,2,1915,1880.0,2.0,11.319049411336588
4,708,5330,2,7,2,1940,1128.0,1.0,11.320565693461432
9,2000,18261,5,5,5,2005,3910.0,3.5,13.060490101343552
9,2772,14257,5,5,5,2007,4548.0,4.5,13.043322334563697
8,2374,11999,5,5,4,2003,3555.0,2.5,12.560247968016562
7,1228,7155,3,8,3,1918,1828.0,1.0,11.827743504053695
6,2640,10400,4,7,3,1967,3572.0,2.5,12.456446075655599
4,960,10921,3,5,3,1965,1920.0,2.0,11.459007676978688
4,720,7008,2,8,3,1900,1168.0,1.0,11.372524818667134
6,1845,11218,4,5,4,1992,2900.0,2.5,12.149507585033072
6,1470,10560,3,7,3,1922,2208.0,1.5,11.854747650772435
4,1049,5150,3,7,3,1910,1405.0,1.0,11.300981463909618
7,1266,3710,4,5,4,2007,2532.0,2.0,12.130734686483382
7,2514,11170,3,5,3,1990,3730.0,2.5,12.429220196836383
6,1611,9760,3,6,3,1964,2391.0,2.5,12.031129798974042
6,1169,8076,3,6,3,1993,2329.0,2.5,12.119975396053194
8,1234,11049,4,5,4,2007,2468.0,2.0,12.100161978566867
5,896,11622,3,6,3,1961,1778.0,1.0,11.561725152903833
6,1382,19296,3,5,3,1962,2744.0,2.0,12.07824495582233
6,1671,10928,3,6,3,1978,3098.0,2.0,12.206077645517674
5,1432,16157,4,7,3,1978,2792.0,2.5,12.175618592671356
7,1557,3196,4,5,4,2003,2931.0,2.0,12.36308066783498
8,1494,9466,4,5,4,1994,2988.0,2.5,12.541476454442867
7,1364,3087,4,5,4,2006,2584.0,3.0,12.256057334066451
5,1582,6120,3,6,3,1938,2534.0,2.0,11.918397239722838
4,1760,10818,3,4,3,1910,2837.0,1.5,11.289794413577894
6,1062,8128,3,7,3,1954,2124.0,2.0,11.782960235741939
5,1812,7590,3,5,3,1962,2676.0,2.0,12.040614105490253
5,864,7200,5,5,3,1972,1728.0,2.0,11.751950239425476
8,2263,9240,4,5,4,2001,3318.0,2.5,12.567240979056246
6,1187,7980,3,7,3,1992,2355.0,3.0,12.128116509451258
7,1382,8923,3,5,4,1998,1766.0,2.5,12.086731521684555
8,2497,17778,4,5,4,1981,4958.0,3.0,12.829336379587506
7,1301,7200,4,5,4,2006,2594.0,3.0,12.142871895843887
6,1436,10800,3,6,3,1940,2320.0,2.0,11.951186847493476
6,1068,6120,3,5,3,1923,2192.0,2.0,11.603688960617083
8,1660,10625,4,5,4,2007,3320.0,2.0,12.45293662970407
5,1836,56600,3,1,3,1900,2522.0,2.0,11.542493975902508
7,1455,3940,4,5,4,2003,2870.0,3.0,12.180759965737863
10,2392,13472,5,5,5,2003,4784.0,2.0,12.864242696187505
6,1012,7840,3,5,3,1975,1988.0,3.0,11.755879486687116
8,2048,8010,4,5,4,2003,3102.0,3.5,12.614868865984631
6,1427,11104,3,6,3,1969,2854.0,2.5,12.117246896289503
3,670,3500,2,5,3,1945,1040.0,2.0,11.06665398721974
7,1500,8487,4,5,4,2004,3000.0,2.0,12.154784614286667
6,1484,10237,4,5,4,2005,2267.0,2.5,12.094587859196112
9,2748,13418,5,5,4,2006,4598.0,3.5,12.873904582205107
9,1816,12469,5,5,5,2006,3606.0,3.0,12.782688818818986
8,2098,10240,5,5,4,2005,3128.0,2.5,12.526346537332584
6,1381,9360,4,7,3,1972,2542.0,2.5,12.193498926601634
7,1392,3180,4,5,4,2007,2081.0,2.0,11.891368749982085
6,958,12772,3,8,3,1960,1916.0,1.0,11.928347504569842
4,1152,6882,2,3,3,1955,1152.0,2.0,11.026808713825016
6,987,1680,4,8,3,1972,1470.0,1.5,11.678448377988165
6,1072,3675,3,5,3,2005,1619.0,2.0,11.86710429621008
7,1797,9245,4,5,4,2006,2736.0,2.5,12.271396795480596
7,2840,12511,4,7,4,1978,4260.0,3.0,12.586223364451623
7,1425,8685,3,5,3,1998,2850.0,3.0,12.170450649220749
6,1429,14585,4,6,3,1960,2573.0,1.5,12.111217862017215
7,1929,7050,4,5,4,2001,2986.0,3.5,12.328294703023394
8,1651,10235,4,5,4,2007,3294.0,2.0,12.415121329251784
10,3390,18062,5,5,5,2006,4918.0,3.5,13.208953832485427
4,914,17199,3,7,3,1961,1828.0,1.0,11.759793355371237
5,1144,8163,3,6,3,1959,2288.0,2.0,11.870606902224587
5,833,5400,4,7,3,1954,1666.0,1.0,11.669937760751914
5,1465,10164,3,5,3,1939,2457.0,2.0,11.782960235741939
5,1344,11875,3,5,3,1999,2688.0,2.0,12.022756594390605
5,2168,8660,4,6,3,1900,2616.0,2.0,11.719947764402807
5,1283,7763,3,7,3,1962,2214.0,2.0,11.849404844423074
5,1236,10011,4,6,3,1957,2306.0,1.5,11.808955099378537
7,1490,15384,4,5,4,2004,2278.0,3.5,12.122696471358964
9,2338,51974,4,5,5,2006,4998.0,3.5,13.2905657256374
8,2290,11250,4,5,4,2002,3418.0,2.5,12.45254592991672
5,1040,8430,3,5,3,1978,2080.0,2.0,11.728044909070785
6,1026,10970,3,6,3,1978,1966.0,2.0,11.898194668458823
8,2006,11675,4,5,4,1998,3988.0,3.0,12.765691290604371
6,1138,15312,3,5,3,1960,2276.0,1.5,11.904974309480183
7,2104,6300,3,6,3,1910,3330.0,2.0,11.951186847493476
7,1200,3180,4,5,4,2005,1720.0,2.5,11.878630514504515
4,1315,4330,3,6,3,1958,2123.0,3.0,11.507922973347437
5,1143,8050,3,5,3,1959,2286.0,2.0,11.820417517632333
7,2037,10541,4,5,4,1996,2709.0,2.5,12.34148164933907
4,864,9000,3,6,3,1971,1728.0,1.0,11.699413330633599
7,1193,11050,3,5,3,1975,2369.0,2.0,11.970356641102999
8,1630,10226,5,5,4,2008,3252.0,3.0,12.596403811053621
5,1184,8410,3,3,3,1910,1842.0,1.0,11.302216779257382
5,1464,9900,3,8,4,1910,1968.0,2.0,11.767575435251748
5,907,16300,3,4,3,1977,1783.0,2.0,11.775297421715827
5,864,8100,4,8,3,1961,1728.0,2.0,11.813037464800539
8,2004,12891,4,5,4,2002,2874.0,3.5,12.458778882573533
5,1350,8375,4,7,3,1941,1926.0,2.5,11.934270483892945
4,882,5500,3,6,3,1956,1764.0,1.0,11.544433821905134
5,1048,7200,3,5,3,1950,1048.0,1.0,11.495789479023493
8,1618,16163,4,5,4,2004,3236.0,2.0,12.437188334739655
5,960,6000,3,7,3,1955,1920.0,2.0,11.816734299348461
5,1324,6120,4,7,3,1930,2065.0,1.0,11.608244735642321
5,1078,12537,3,6,3,1971,2156.0,2.5,11.917730355182513
7,2082,11426,4,5,3,2003,3444.0,2.5,12.206077645517674
6,1512,2980,4,5,4,2000,2268.0,3.5,12.083910661257521
6,1392,13560,3,3,3,1968,2784.0,2.0,11.608244735642321
7,1525,9100,4,5,4,2000,3050.0,3.0,12.367345048436391
6,1604,8702,3,5,3,1997,2530.0,2.5,12.141539457711714
6,1182,9576,3,7,3,1945,1952.0,1.5,11.695255355062795
5,1250,5362,3,6,3,1910,1911.0,2.0,11.842236406331555
8,1616,5389,4,5,4,1995,3211.0,3.0,12.373707715234994
8,1575,10845,4,5,4,2003,3178.0,3.0,12.556733038263905
7,1983,10762,4,5,4,1999,2961.0,2.5,12.323860125621126
4,1220,8877,3,5,3,1951,2056.0,1.0,11.532737896139919
6,1474,31220,3,2,3,1952,3106.0,1.0,11.652696102959753
4,864,10500,3,6,3,1971,1728.0,1.0,11.48247656671073
8,2169,9375,4,5,4,2002,3453.0,2.5,12.339295865674435
6,768,6291,3,6,4,1930,1536.0,1.0,11.4494636972589
9,1940,10159,5,5,5,2009,3870.0,3.5,12.887129532148373
5,1375,14175,3,5,3,1956,2615.0,2.0,12.138869243416009
8,1788,11838,5,5,4,2001,3541.0,2.0,12.373707715234994
